encora_id,show_name,tour_name,date,master,nft_status,cast,encora_link
25573,If There Is I Haven't Found It Yet,Off-Broadway,2012-09-13,NYCG8R,Not NFT,"Jake Gyllenhaal ( Terry), Annie Funke ( Anna), Brian F. O'Byrne ( George), Michelle Gomez ( Fiona)",https://encora.it/recordings/25573
25887,Be More Chill,Broadway,2019-08-11,notjustthespongenextdoor,Not NFT,"Will Roland ( Jeremy Heere), George Salazar ( Michael Mell), Stephanie Hsu ( Christine Canigula), Jason Tam ( The SQUIP), Lauren Marcus ( Brooke Lohst), Katlyn Carlson ( Chloe Valentine), Tiffany Mann ( Jenna Rolan), Britton Smith ( Jake Dillinger), Gerard Canonico ( Rich Goranski), Jason SweetTooth Williams ( Mr. Heere), Jason SweetTooth Williams ( Mr. Reyes), Jason SweetTooth Williams ( Scary Stockboy)",https://encora.it/recordings/25887
26879,Be More Chill,Off-West End,2020-02-01,queenofthedead,2020-07-13,"Scott Folan ( Jeremy Heere), Blake Patrick Anderson ( Michael Mell), Miracle Chance ( Christine Canigula), Stewart Clarke ( The SQUIP), Eloise Davies ( Brooke Lohst), Millie O'Connell ( Chloe Valentine), Renée Lamb ( Jenna Rolan), Miles Paloma ( Jake Dillinger), James Hameed ( Rich Goranski), Christopher Fry ( Mr. Heere), Christopher Fry ( Mr. Reyes), Christopher Fry ( Scary Stockboy)",https://encora.it/recordings/26879
26949,The Wind in the Willows (Stiles & Drewe),West End,2017-01-01,pro-shot,Not NFT,"Rufus Hound ( Toad), Craig Mather ( Mole), Simon Lipkin ( Ratty), Gary Wilmot ( Badger), Neil McDermott ( Chief Weasel), Denise Welch ( Mrs. Otter), Denise Welch ( Barge Woman), Emilie du Leslay ( Portia), Joshua Gannon ( Lesser Weasel), James Gant ( Car Driver), Evan James ( Rabbit Butler), Michael Larcombe ( Head Chorister Fieldmouse), Chris Aukett ( Train Driver), Rosanna Bates ( Cheryl Stoat), Jenna Boyd ( Mrs. Hedgehog), Natalie Woods ( Horse), Abigail Brodie ( Horse), Jorell Coiffic-Kamall ( Scared Weasel), Nicole Deon ( Scared Stoat), Ryan Pidgen ( Prison Guard), Abigail Brodie ( Swallow), Rosanna Bates ( Swallow), Bethany Linsdell ( Swallow), Abigail Brodie ( Fieldmouse), Joshua Gannon ( Fieldmouse), Bethany Linsdell ( Fieldmouse), Adam Vaughan ( Magistrate), James Gant ( Mr. Hedgehog), Jenna Boyd ( Gaolers Daughter), Rakesh Boury ( Sentry Stoat)",https://encora.it/recordings/26949
27880,Wicked,Broadway,2019-09-01,StarCuffedJeans,2020-04-25,"Hannah Corneau ( Elphaba), Brittney Johnson ( Glinda), Kyle Dean Massey ( Fiyero), Michael McCormick ( The Wizard), Nancy Opel ( Madame Morrible), Gizel Jimenez ( Nessarose), Jesse JP Johnson ( Boq), Jamie Jackson ( Doctor Dillamond), Chase Madigan ( Chistery), Christianne Tisdale ( Midwife), Courtney Iventosch ( Witch's Mother)",https://encora.it/recordings/27880
31160,Evita,Regent's Park Open Air Theatre,2019-08-01,hitmewithyourbethshot,2020-01-14,"Marsha Songcome ( Eva Perón), Trent Saunders ( Che), Ektor Rivera ( Perón), Adam Pearce ( Magaldi), Frances Mayli McCann ( Perón's Mistress), Lauren Drew ( Ensemble)",https://encora.it/recordings/31160
1000338,Wicked,Universal Studios Japan (Non-Replica),2006-07-12,JA61NH,Not NFT,"Jillian Giacchi ( Elphaba), Osagi Maki ( Glinda), Kobayashi Atom ( The Wizard)",https://encora.it/recordings/1000338
1000340,Wicked,Universal Studios Japan (Non-Replica),2006-07-22,USJ TV BJFAN,Not NFT,"Gillian Taylor ( Elphaba), Asuka Takahashi ( Glinda), Kobayashi Atom ( The Wizard)",https://encora.it/recordings/1000340
1005541,Wicked,"Chita, Russia (Non-Replica)",2019-10-28,house-cam,Not NFT,"Yulia Sidorovich ( Elphaba), Antonina Nemerova ( Glinda), Denis Denisenko ( Fiyero), Evgeny Dmitriev ( The Wizard)",https://encora.it/recordings/1005541
1005728,Songs for a New World,London Palladium,2020-10-01,hitmewithyourbethshot,2021-02-28,"Rachel John ( Woman 1), Cedric Neal ( Man 1), Rachel Tucker ( Woman 2), David Hunter ( Man 2)",https://encora.it/recordings/1005728
